Event1		Location:(1,8)	Price:$15.51	amount:349
Event32		Location:(1,0)	Price:$74.23	amount:594
Event32		Location:(1,0)	Price:$96.69	amount:592
Event32		Location:(1,0)	Price:$0.1	amount:477
Event32		Location:(1,0)	Price:$99.57	amount:166
Event32		Location:(1,0)	Price:$73.5	amount:747
Event32		Location:(1,0)	Price:$3.56	amount:899
Event33		Location:(2,0)	Price:$89.68	amount:507
Event33		Location:(2,0)	Price:$1.59	amount:380
Event33		Location:(2,0)	Price:$4.36	amount:436
Event33		Location:(2,0)	Price:$55.6	amount:635
Event33		Location:(2,0)	Price:$23.17	amount:689
Event33		Location:(2,0)	Price:$95.44	amount:626
Event34		Location:(5,-1)	Price:$13.91	amount:333
Event34		Location:(5,-1)	Price:$46.39	amount:627
Event34		Location:(5,-1)	Price:$31.24	amount:871
Event34		Location:(5,-1)	Price:$64.04	amount:439
Event35		Location:(0,7)	Price:$99.69	amount:32
Event35		Location:(0,7)	Price:$60.28	amount:850
Event35		Location:(0,7)	Price:$93.93	amount:139
Event35		Location:(0,7)	Price:$10.75	amount:917
Event35		Location:(0,7)	Price:$60.86	amount:960
Event35		Location:(0,7)	Price:$57.22	amount:261
Event35		Location:(0,7)	Price:$10.85	amount:512
Event35		Location:(0,7)	Price:$31.07	amount:763
Event36		Location:(-3,-1)	Price:$75.14	amount:43
Event36		Location:(-3,-1)	Price:$73.99	amount:580
Event36		Location:(-3,-1)	Price:$26.87	amount:412
Event36		Location:(-3,-1)	Price:$10.94	amount:632
Event36		Location:(-3,-1)	Price:$78.71	amount:54
Event36		Location:(-3,-1)	Price:$48.21	amount:389
Event36		Location:(-3,-1)	Price:$57.94	amount:240
Event36		Location:(-3,-1)	Price:$44.54	amount:497
Event36		Location:(-3,-1)	Price:$8.35	amount:834
Event37		Location:(-3,-5)	Price:$77.41	amount:795
Event37		Location:(-3,-5)	Price:$18.35	amount:271
Event38		Location:(-7,-2)	Price:$11.8	amount:32
Event39		Location:(-7,8)	Price:$28.24	amount:207
Event39		Location:(-7,8)	Price:$21.39	amount:586
Event39		Location:(-7,8)	Price:$93.7	amount:688
Event39		Location:(-7,8)	Price:$91.43	amount:646
Event39		Location:(-7,8)	Price:$70.07	amount:225
Event42		Location:(-1,1)	Price:$20.44	amount:849
Event42		Location:(-1,1)	Price:$46.11	amount:422
Event42		Location:(-1,1)	Price:$34.96	amount:316
Event42		Location:(-1,1)	Price:$55.41	amount:602
Event42		Location:(-1,1)	Price:$97.39	amount:834
Event42		Location:(-1,1)	Price:$41.5	amount:855
Event42		Location:(-1,1)	Price:$30.47	amount:366
Event42		Location:(-1,1)	Price:$43.62	amount:660
Event42		Location:(-1,1)	Price:$22.6	amount:157
Event45		Location:(-1,8)	Price:$51.11	amount:581
Event45		Location:(-1,8)	Price:$67.12	amount:743
Event46		Location:(-6,-1)	Price:$73.75	amount:220
Event46		Location:(-6,-1)	Price:$20.21	amount:160
Event46		Location:(-6,-1)	Price:$81.43	amount:909
Event46		Location:(-6,-1)	Price:$84.23	amount:144
Event47		Location:(0,2)	Price:$23.05	amount:205
Event47		Location:(0,2)	Price:$31.39	amount:235
Event47		Location:(0,2)	Price:$49.17	amount:566
Event47		Location:(0,2)	Price:$28.2	amount:317
Event47		Location:(0,2)	Price:$53.94	amount:122
Event47		Location:(0,2)	Price:$57.93	amount:350
Event47		Location:(0,2)	Price:$55.09	amount:696
Event47		Location:(0,2)	Price:$59.81	amount:461
Event47		Location:(0,2)	Price:$7.12	amount:985
Event48		Location:(2,-9)	Price:$96.61	amount:379
Event48		Location:(2,-9)	Price:$11.43	amount:769
Event48		Location:(2,-9)	Price:$51.6	amount:406
Event48		Location:(2,-9)	Price:$91.08	amount:907
Event49		Location:(5,-5)	Price:$31.01	amount:594
Event49		Location:(5,-5)	Price:$2.81	amount:632
Event49		Location:(5,-5)	Price:$67.21	amount:47
